item,domain,url,error,response,meta
https://www.theepochtimes.com/exclusive-former-greenpeace-founder-patrick-moore-debunks-the-false-narratives-of-climate-change_4709568.html,theepochtimes.com,https://www.theepochtimes.com/exclusive-former-greenpeace-founder-patrick-moore-debunks-the-false-narratives-of-climate-change_4709568.html,,<urllib3.response.HTTPResponse object at 0x1117db6d0>,"{'ext': '.html', 'mimetype': 'text/html', 'encoding': 'utf-8', 'is_text': True}"
https://www.facebook.com/marie.dubois.79/posts/8131151136925106,facebook.com,https://www.facebook.com/marie.dubois.79/posts/8131151136925106,,<urllib3.response.HTTPResponse object at 0x110f38940>,"{'ext': '.html', 'mimetype': 'text/html', 'encoding': 'utf-8', 'is_text': True}"
https://twitter.com/nc_vert/status/1566657509254844416,twitter.com,https://twitter.com/nc_vert/status/1566657509254844416,,<urllib3.response.HTTPResponse object at 0x111763160>,"{'ext': '.html', 'mimetype': 'text/html', 'encoding': 'utf-8', 'is_text': True}"
